adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.netflix.com/title/80164212,411405,tt5717492,en,Small Crimes,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.",7.219022,/z7jmLmrs0pLlDU4GI6ItaJeqlET.jpg,"[{'name': 'Rooks Nest Entertainment', 'id': 34456}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-04-28,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Small Crimes,False,5.8,55.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,42492,tt0069449,en,Up the Sandbox,"A young wife and mother, bored with day-to-day life in New York City and neglected by her husband, slips into increasingly outrageous fantasies: her mother breaking into the apartment, an explorer's demonstration of tribal fertility music at a party causing strange transformations, and joining terrorists to plant explosives in the Statue of Liberty.",0.13845,/zwOmdqvPObv9EsMgne7EBYzPYGW.jpg,"[{'name': 'Barwood Films', 'id': 3645}, {'name': 'First Artists', 'id': 4376}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1972-12-21,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Up the Sandbox,False,7.3,2.0
False,,1000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,12143,tt0103759,en,Bad Lieutenant,"While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness.",6.417037,/oe8VjWCKXktqA19T1ZWtaSn8rc2.jpg,"[{'name': 'Bad Lt. Productions', 'id': 11264}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-09-16,2019469.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Gambler. Thief. Junkie. Killer. Cop.,Bad Lieutenant,False,6.9,162.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,9976,tt0380687,en,Satan's Little Helper,A naïve young boy unknowingly becomes the pawn of a serial killer.,2.233189,/59HgSvjDiaqUSYz43VZnpChgBkp.jpg,"[{'name': 'Intrinsic Value Films', 'id': 2828}, {'name': ""Satan's Little Company LLC"", 'id': 60626}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-01-01,0.0,100.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,You'll laugh 'til you die,Satan's Little Helper,False,5.0,42.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,46761,tt0157044,fr,Sitcom,"The adventures of an upper-class suburban family abruptly confronted with the younger brother's discovery of his homosexuality, the elder sister's suicide attempt and sado-masochist tendencies, and the intrusion of a very free-spirited maid and her husband... And it all started with the arrival in the family of an innocent looking rat...",1.800582,/fZqanl6sCC29zU1K2v2mpuWyyYw.jpg,"[{'name': 'Fidélité Productions', 'id': 147}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1998-05-27,0.0,80.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Sitcom,False,6.4,27.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",,268725,tt2236160,en,Nightlight,"Five friends play a game in a ""mysterious"" forest with a long history as a beacon for troubled young people contemplating suicide.",2.219537,/pWS9lr5eSEuk9dZJguY9QjnzkQc.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-03-27,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Nightlight,False,4.8,30.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,62297,tt0428608,nl,Guernsey,Guernsey is the story of a woman who suddenly looks at her own life and wonders how she became miles apart from the people she is closest to.,0.793096,/bME43aPkx3WHDA3cMWZNktXng6E.jpg,"[{'name': 'CoBo Fonds', 'id': 12021}, {'name': 'Cosmokino', 'id': 21507}, {'name': 'Circe Films', 'id': 31137}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2005-08-25,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Guernsey,False,5.8,3.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]",,184885,tt0016640,en,The Bells,"Mathias, an Alsatian innkeeper, murders a rich Pole staying at his inn But Mathias' conscience will not let him rest, and the murdered man's spirit drives the innkeeper nearly mad. The victim's brother calls for an inquest and brings with him a sideshow mesmerist supposedly able to read minds. Mathias, as burgomaster, is called upon to conduct the inquest, but under the intuitive eye of the mesmerist cannot resist torment of his own conscience.",0.061599,/crONJfKpdhb5S2SlXWEbM81vLGr.jpg,"[{'name': 'Chadwick Pictures Corporation', 'id': 48490}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-07-29,0.0,68.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Bells,False,7.0,1.0
False,,0,[],,156145,tt0169815,it,"Due cuori, una cappella",,0.248739,/8NXnNlCqI2zUQKeXyAOeqnxmmaH.jpg,"[{'name': 'Mars Films', 'id': 819}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1975-10-02,0.0,0.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,"Due cuori, una cappella",False,6.0,3.0
False,,7000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",http://www.freeheld.movie/,306745,tt1658801,en,Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,4.955317,/uznb3nUaOMtKWlvy2mKeZkDkfdj.jpg,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'High Frequency Entertainment', 'id': 52053}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-10-02,573335.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A true story of love and injustice.,Freeheld,False,7.1,168.0
